etiqueta,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0,0,0,0.051752,0.02006,-0.015962,0.107173,0.002409,-0.022104,0.149651,-0.017078,-0.027982,0.179973,-0.006802,-0.031653,0.102185,-0.065592,-0.010098,0.114993,-0.086759,-0.031374,0.090015,-0.056571,-0.043384,0.071593,-0.035011,-0.048695,0.075967,-0.089011,-0.010739,0.089362,-0.112216,-0.034632,0.065083,-0.06803,-0.041538,0.050076,-0.040554,-0.042807,0.04975,-0.104305,-0.014903,0.060999,-0.126459,-0.038639,0.043296,-0.083053,-0.035885,0.032704,-0.057207,-0.029154,0.02401,-0.117696,-0.020403,0.034582,-0.138725,-0.034107,0.024859,-0.107646,-0.030228,0.017792,-0.086093,-0.024868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.054031,0.035314,-0.023794,0.11627,0.026303,-0.038691,0.16285,0.009128,-0.050148,0.203291,0.008923,-0.058085,0.127028,-0.087485,-0.043393,0.12636,-0.020639,-0.070928,0.094961,0.015007,-0.082682,0.076669,0.015011,-0.088967,0.097303,-0.120782,-0.04404,0.094575,-0.041531,-0.070923,0.064756,-0.004876,-0.075299,0.051564,-0.008408,-0.077703,0.060283,-0.13311,-0.046907,0.059527,-0.058698,-0.074557,0.039356,-0.024683,-0.071622,0.032279,-0.031146,-0.067289,0.023263,-0.135418,-0.051268,0.026052,-0.07827,-0.069143,0.017869,-0.050782,-0.06709,0.014307,-0.056119,-0.063961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.05034,0.064894,0.005015,0.09251,0.08131,0.009007,0.126515,0.085,0.006125,0.147097,0.089328,0.004618,0.124083,0.017701,0.026664,0.165337,0.022252,0.010203,0.135508,0.036189,-0.003483,0.102437,0.036479,-0.008042,0.120693,-0.013388,0.016921,0.164242,-0.007895,-0.002259,0.130247,0.014307,-0.015395,0.095484,0.020535,-0.019495,0.11687,-0.047742,0.003967,0.162878,-0.035662,-0.01533,0.128269,-0.007985,-0.019467,0.093137,-0.001647,-0.015989,0.109134,-0.088147,-0.008961,0.145536,-0.068336,-0.021371,0.123231,-0.040566,-0.019971,0.095636,-0.030255,-0.014974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.063212,0.013565,-0.022588,0.126113,-0.008142,-0.028358,0.175184,-0.036842,-0.033623,0.213425,-0.039668,-0.035823,0.116363,-0.071638,0.003609,0.131162,-0.117056,-0.023528,0.103807,-0.089451,-0.042916,0.084064,-0.056303,-0.051704,0.084224,-0.097133,0.006157,0.100998,-0.13997,-0.02713,0.073089,-0.093204,-0.042992,0.054397,-0.053544,-0.047124,0.053943,-0.114761,0.002893,0.066049,-0.156572,-0.029661,0.046451,-0.10864,-0.033186,0.034198,-0.069942,-0.027232,0.026087,-0.126352,-0.002234,0.03375,-0.160782,-0.021133,0.022278,-0.128079,-0.02115,0.016316,-0.096037,-0.016517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067713,-0.036037,-0.021637,-0.119937,-0.105709,-0.03434,-0.158793,-0.156249,-0.049091,-0.196335,-0.1861,-0.061381,-0.074965,-0.182233,-0.005421,-0.073263,-0.229453,-0.033398,-0.068695,-0.169619,-0.051369,-0.066699,-0.113645,-0.058187,-0.030307,-0.187436,-0.00678,-0.034367,-0.227728,-0.03769,-0.032973,-0.154039,-0.050128,-0.0337,-0.095521,-0.050763,0.01287,-0.184515,-0.013185,0.003923,-0.219302,-0.041124,-0.000397,-0.146959,-0.04142,-0.004936,-0.090833,-0.033504,0.05367,-0.174619,-0.021897,0.044441,-0.21273,-0.038771,0.033495,-0.168843,-0.034894,0.025269,-0.130572,-0.026946
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071027,-0.039089,0.000597,-0.118457,-0.101542,-0.001054,-0.1463,-0.14968,-0.010277,-0.178782,-0.174396,-0.019468,-0.075551,-0.180939,0.018033,-0.09583,-0.230078,-0.008227,-0.093696,-0.179418,-0.027277,-0.085947,-0.126494,-0.034466,-0.038455,-0.187838,0.007145,-0.062569,-0.233089,-0.022182,-0.062544,-0.165331,-0.035955,-0.059189,-0.10533,-0.037402,0.001529,-0.19053,-0.00734,-0.024,-0.229262,-0.0335,-0.030372,-0.15923,-0.034591,-0.031139,-0.101081,-0.026782,0.044341,-0.186891,-0.022308,0.019105,-0.22828,-0.036208,0.006265,-0.185617,-0.031505,0.002148,-0.142417,-0.023094
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058016,-0.038419,-0.007134,-0.095002,-0.097255,-0.015023,-0.111397,-0.144793,-0.026752,-0.131892,-0.186219,-0.036878,-0.059493,-0.202922,0.008773,-0.097337,-0.191449,-0.019729,-0.093341,-0.130001,-0.043872,-0.080634,-0.083308,-0.055582,-0.025766,-0.214675,0.001269,-0.074268,-0.186699,-0.026087,-0.067955,-0.116928,-0.039572,-0.057515,-0.066196,-0.042378,0.007317,-0.210462,-0.009899,-0.04553,-0.184975,-0.033158,-0.042217,-0.117989,-0.032289,-0.033552,-0.070212,-0.024908,0.040468,-0.193849,-0.023045,-0.010121,-0.184032,-0.035877,-0.018734,-0.136933,-0.031028,-0.016894,-0.100773,-0.022198
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063002,-0.034657,-0.022497,-0.112825,-0.105649,-0.036067,-0.148247,-0.160597,-0.049716,-0.184,-0.198085,-0.060707,-0.067159,-0.212334,-0.016162,-0.072946,-0.183214,-0.041372,-0.067482,-0.124824,-0.059207,-0.061187,-0.082268,-0.068147,-0.021047,-0.220805,-0.016683,-0.032378,-0.170809,-0.040095,-0.034789,-0.105891,-0.049406,-0.034817,-0.05854,-0.051876,0.019918,-0.208947,-0.020833,0.005631,-0.162953,-0.042148,-0.003279,-0.107242,-0.041025,-0.007226,-0.067779,-0.035328,0.057058,-0.184153,-0.028073,0.043865,-0.16217,-0.038464,0.027718,-0.123649,-0.033776,0.018055,-0.096462,-0.027099
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057697,-0.02243,-0.021747,-0.105336,-0.071637,-0.037375,-0.138293,-0.111824,-0.051389,-0.168349,-0.147341,-0.061855,-0.06799,-0.170072,-0.022197,-0.107267,-0.107293,-0.047556,-0.100042,-0.05706,-0.065477,-0.084803,-0.038307,-0.076406,-0.034314,-0.173789,-0.023323,-0.082706,-0.091758,-0.042849,-0.073445,-0.041227,-0.047192,-0.05736,-0.028071,-0.049384,-0.003425,-0.157779,-0.027878,-0.052543,-0.084111,-0.046176,-0.046751,-0.040517,-0.040502,-0.033581,-0.032058,-0.035298,0.023709,-0.131172,-0.03577,-0.016955,-0.081322,-0.04727,-0.020768,-0.048774,-0.04283,-0.013366,-0.042956,-0.037406
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060929,-0.04298,-0.014697,-0.106752,-0.102465,-0.025058,-0.138736,-0.147908,-0.038815,-0.169517,-0.176698,-0.051333,-0.055111,-0.163532,0.002832,-0.060216,-0.207233,-0.021023,-0.062657,-0.163387,-0.039062,-0.06305,-0.116314,-0.046701,-0.01834,-0.163013,-0.000572,-0.02641,-0.200338,-0.026033,-0.031634,-0.146319,-0.039306,-0.034171,-0.095257,-0.042047,0.017499,-0.155797,-0.008386,0.005509,-0.18532,-0.031053,-0.002952,-0.132248,-0.034403,-0.007158,-0.083656,-0.029756,0.052833,-0.142885,-0.01796,0.040769,-0.178895,-0.029944,0.029098,-0.148464,-0.026961,0.022951,-0.11501,-0.02062
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045275,-0.037078,0.006618,-0.063779,-0.07901,0.004847,-0.071843,-0.117996,-0.004522,-0.07723,-0.153665,-0.013913,-0.031133,-0.146119,0.023018,-0.057221,-0.170132,0.003385,-0.059678,-0.123602,-0.013704,-0.051067,-0.074174,-0.021248,-0.011241,-0.155331,0.011148,-0.050958,-0.178686,-0.01352,-0.049452,-0.119281,-0.028044,-0.037184,-0.065594,-0.030629,0.014135,-0.162686,-0.002996,-0.032859,-0.180607,-0.023762,-0.031746,-0.120535,-0.02746,-0.018446,-0.069247,-0.022803,0.04332,-0.16482,-0.017366,-0.001709,-0.187869,-0.027791,-0.012318,-0.147728,-0.024397,-0.008372,-0.107224,-0.017233
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066065,-0.040162,-0.006659,-0.111861,-0.112173,-0.011505,-0.139407,-0.163842,-0.021402,-0.169318,-0.201522,-0.029937,-0.060898,-0.203264,0.015434,-0.096007,-0.211838,-0.012745,-0.091763,-0.151795,-0.036868,-0.080704,-0.103046,-0.048236,-0.026003,-0.212156,0.007482,-0.068795,-0.206137,-0.02166,-0.063313,-0.135763,-0.03682,-0.053,-0.082927,-0.039882,0.010151,-0.207632,-0.004797,-0.035632,-0.204447,-0.029771,-0.036391,-0.133608,-0.028903,-0.029949,-0.081852,-0.020509,0.047063,-0.192433,-0.018944,0.004814,-0.202868,-0.032089,-0.005869,-0.156536,-0.025958,-0.004922,-0.118418,-0.01596
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070276,-0.034641,-0.014382,-0.126499,-0.103928,-0.026113,-0.166376,-0.15593,-0.041508,-0.205598,-0.194224,-0.055478,-0.080685,-0.212242,0.001273,-0.116531,-0.202819,-0.030754,-0.108957,-0.140103,-0.057103,-0.094559,-0.093957,-0.070319,-0.039722,-0.224803,-0.004804,-0.079384,-0.198926,-0.035389,-0.071736,-0.125274,-0.050131,-0.059682,-0.072642,-0.054084,0.001369,-0.220196,-0.015256,-0.041077,-0.200447,-0.04134,-0.040494,-0.127521,-0.039105,-0.032469,-0.077986,-0.030676,0.041595,-0.203133,-0.028301,0.00293,-0.203235,-0.040691,-0.005316,-0.156331,-0.033367,-0.001744,-0.123027,-0.023376
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059064,-0.031679,-0.014588,-0.107553,-0.092314,-0.026988,-0.139885,-0.138441,-0.04195,-0.17332,-0.174344,-0.055289,-0.071128,-0.19498,-0.00544,-0.103745,-0.175274,-0.035005,-0.094949,-0.120618,-0.058553,-0.080699,-0.080736,-0.070313,-0.033506,-0.206633,-0.010327,-0.072074,-0.165227,-0.037465,-0.062829,-0.102274,-0.049967,-0.051901,-0.057343,-0.053686,0.003002,-0.199911,-0.01893,-0.037313,-0.164288,-0.041669,-0.035303,-0.10395,-0.039849,-0.029418,-0.061804,-0.033104,0.038925,-0.181267,-0.030258,0.003404,-0.167765,-0.040837,-0.006395,-0.128471,-0.035279,-0.008297,-0.100028,-0.027521
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064533,-0.040637,-0.015276,-0.115469,-0.108837,-0.026941,-0.151014,-0.159783,-0.040807,-0.185125,-0.195538,-0.052873,-0.06039,-0.192104,-0.004784,-0.076434,-0.197231,-0.030217,-0.07558,-0.1438,-0.049654,-0.070268,-0.097452,-0.059391,-0.021523,-0.197679,-0.008724,-0.042955,-0.193965,-0.033749,-0.0439,-0.133036,-0.044316,-0.040006,-0.084752,-0.04683,0.015808,-0.189727,-0.016452,-0.009191,-0.185845,-0.036917,-0.01475,-0.12789,-0.03424,-0.012753,-0.085463,-0.027733,0.051767,-0.171373,-0.026535,0.027527,-0.178329,-0.035762,0.017681,-0.139173,-0.029611,0.018217,-0.10991,-0.022067
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055195,-0.04503,-0.021062,-0.096519,-0.114079,-0.032725,-0.123791,-0.168209,-0.045568,-0.150579,-0.205658,-0.055867,-0.049914,-0.173823,-0.003103,-0.048979,-0.209616,-0.027419,-0.046651,-0.158132,-0.044353,-0.045255,-0.110713,-0.051702,-0.01235,-0.171782,-0.003663,-0.014035,-0.204916,-0.030904,-0.016166,-0.143096,-0.043441,-0.018029,-0.093666,-0.045465,0.023475,-0.162202,-0.008801,0.019209,-0.197806,-0.034336,0.012314,-0.138888,-0.034034,0.006818,-0.090057,-0.026559,0.056747,-0.146246,-0.016024,0.05235,-0.188421,-0.032535,0.041072,-0.151574,-0.028044,0.033384,-0.114824,-0.019739
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067303,-0.064745,-0.027028,-0.107896,-0.15802,-0.047902,-0.127339,-0.239121,-0.070823,-0.155824,-0.298553,-0.090177,-0.032656,-0.261412,-0.010867,-0.068,-0.290183,-0.051414,-0.077825,-0.217504,-0.07872,-0.072588,-0.160694,-0.09139,0.010226,-0.264136,-0.014063,-0.03735,-0.266106,-0.056603,-0.044413,-0.185055,-0.072553,-0.037896,-0.132086,-0.074318,0.051575,-0.253565,-0.023704,0.000838,-0.25465,-0.060858,-0.009814,-0.178266,-0.06017,-0.006229,-0.125508,-0.050367,0.093729,-0.232789,-0.036969,0.047507,-0.247617,-0.059031,0.029855,-0.194686,-0.055801,0.030492,-0.153741,-0.045915
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076965,-0.080971,-0.009468,-0.113713,-0.177748,-0.018824,-0.130919,-0.249052,-0.033131,-0.153869,-0.315623,-0.044239,-0.031816,-0.293429,0.016941,-0.099637,-0.284087,-0.021444,-0.104565,-0.202236,-0.053806,-0.088099,-0.145949,-0.070169,0.006046,-0.291258,0.006036,-0.075807,-0.270163,-0.030499,-0.080873,-0.185222,-0.047037,-0.064012,-0.133549,-0.051256,0.039901,-0.268567,-0.010724,-0.041747,-0.258967,-0.042675,-0.052027,-0.180687,-0.037728,-0.037894,-0.133754,-0.026338,0.070608,-0.231884,-0.030329,0.00263,-0.238799,-0.047839,-0.018961,-0.186944,-0.039708,-0.014314,-0.149776,-0.027152
